<class 'problems.ANNOP.ANNOP'>,2505577505704,algorithms.adaptive_selection_GA,[0, 0.16943866943866945, 0.18672199170124482, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000247600EA3A8>, None, 0.95, 0.15, 1.01, 0.0052028184294902885, 2495555.685739546],1.1550892171782992
<class 'problems.ANNOP.ANNOP'>,2505577505704,algorithms.adaptive_selection_GA,[1, 0.19022869022869024, 0.2074688796680498, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000247600EA3A8>, None, 0.95, 0.15, 1.01, 0.004946972489018011, 2207545.622448578],1.1907719222555144
<class 'problems.ANNOP.ANNOP'>,2505577505704,algorithms.adaptive_selection_GA,[2, 0.19126819126819128, 0.2157676348547718, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000247600EA3A8>, None, 0.95, 0.15, 1.01, 0.002677047457224236, 1999408.8523733974],1.2256662218464731
<class 'problems.ANNOP.ANNOP'>,2505577505704,algorithms.adaptive_selection_GA,[3, 0.2079002079002079, 0.21991701244813278, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000247600EA3A8>, None, 0.95, 0.15, 1.01, 0.004517259425827844, 1611180.443829778],1.2591280821993924
<class 'problems.ANNOP.ANNOP'>,2505577505704,algorithms.adaptive_selection_GA,[4, 0.2079002079002079, 0.21991701244813278, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000247600EA3A8>, None, 0.95, 0.15, 1.01, -0.003010730986754362, 1134505.7854718657],1.2902022928174868
<class 'problems.ANNOP.ANNOP'>,2505577505704,algorithms.adaptive_selection_GA,[5, 0.2079002079002079, 0.21991701244813278, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000247600EA3A8>, None, 0.95, 0.15, 1.01, 0.000573440299092412, 890913.3761792653],1.3183984762197811
<class 'problems.ANNOP.ANNOP'>,2505577505704,algorithms.adaptive_selection_GA,[6, 0.23700623700623702, 0.26141078838174275, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000247600EA3A8>, None, 0.95, 0.15, 1.01, 0.004391874783003999, 859951.0880299691],1.3456953445015576
<class 'problems.ANNOP.ANNOP'>,2505577505704,algorithms.adaptive_selection_GA,[7, 0.2588357588357588, 0.29045643153526973, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000247600EA3A8>, None, 0.95, 0.15, 1.01, 0.0011655309603601435, 887386.5780753165],1.3723482357041066
<class 'problems.ANNOP.ANNOP'>,2505577505704,algorithms.adaptive_selection_GA,[8, 0.2588357588357588, 0.29045643153526973, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000247600EA3A8>, None, 0.95, 0.15, 1.01, 0.001965272360859485, 973799.8246684726],1.404422084038758
<class 'problems.ANNOP.ANNOP'>,2505577505704,algorithms.adaptive_selection_GA,[9, 0.2588357588357588, 0.29045643153526973, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000247600EA3A8>, None, 0.95, 0.15, 1.01, -0.003135830151223748, 1020845.5052516991],1.4353214340320992
<class 'problems.ANNOP.ANNOP'>,2505577505704,algorithms.adaptive_selection_GA,[10, 0.2588357588357588, 0.29045643153526973, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000247600EA3A8>, None, 0.95, 0.15, 1.01, -0.00130889269565964, 995506.3120574394],1.466069470677521
