<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[0, 0.19542619542619544, 0.16597510373443983, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.15, 1.01, 0.0008491976622427115, 32805.7342111278],1.1585566530806266
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[1, 0.19542619542619544, 0.16597510373443983, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.15, 1.01, 0.004509133671796364, 29834.237132029688],1.1913219347325608
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[2, 0.19542619542619544, 0.16597510373443983, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.15, 1.01, -0.0012395812412989253, 26904.72965921219],1.2106791735913027
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[3, 0.20374220374220375, 0.22821576763485477, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.15, 1.01, 0.00208739576939743, 24458.566230436074],1.2423145913448523
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[4, 0.20374220374220375, 0.22821576763485477, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.15, 1.01, 0.0032732412042472334, 22935.166626328668],1.2756617258725331
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[5, 0.20997920997921, 0.24481327800829875, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.15, 1.01, -0.004547001109175143, 17532.149782568562],1.3110800686269835
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[6, 0.2182952182952183, 0.24066390041493776, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.15, 1.01, 0.004179508965732402, 13401.672696000303],1.3368515156295018
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[7, 0.2182952182952183, 0.24066390041493776, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.15, 1.01, -0.006077229500018672, 12430.406570405747],1.3593361017746948
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[8, 0.2286902286902287, 0.22821576763485477, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.15, 1.01, -0.00621163707765068, 12376.753115983609],1.3951586902506543
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[9, 0.24324324324324326, 0.25311203319502074, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.15, 1.01, 0.005039924202518732, 11963.83651609291],1.4143041827900686
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[10, 0.24324324324324326, 0.2697095435684647, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.15, 1.01, 0.010780297750048254, 11204.912909147972],1.4427649577304638
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[11, 0.2442827442827443, 0.24481327800829875, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.15, 1.01, -0.007864673582412059, 11886.809863857814],1.4730707068700537
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[12, 0.2598752598752599, 0.2863070539419087, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.15, 1.01, 0.008029437039331858, 12233.59188954182],1.4980619408803193
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[13, 0.2598752598752599, 0.2863070539419087, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.15, 1.01, 0.010438144097752046, 12787.072784797703],1.5264330514117201
<class 'problems.ANNOP.ANNOP'>,2122425904944,algorithms.adaptive_selection_GA,[14, 0.2598752598752599, 0.2863070539419087, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001EE2A712F30>, None, 0.95, 0.15, 1.01, -0.00654546337429128, 12572.103193580244],1.5662385046809733
