<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[0, 0.19542619542619544, 0.16597510373443983, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15, 1.01, 0.004150443593676546, 32805.7342111278],1.1585566530806266
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[1, 0.19542619542619544, 0.16597510373443983, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15, 1.01, -0.005394774948870876, 30731.310445603736],1.188870814155369
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[2, 0.19542619542619544, 0.16597510373443983, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15, 1.01, 0.0039185033366379955, 29615.64006005416],1.22701240686133
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[3, 0.19542619542619544, 0.16597510373443983, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15, 1.01, -0.004606663429542527, 26455.7006243601],1.2649555819023177
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[4, 0.19542619542619544, 0.16597510373443983, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15, 1.01, 0.004754700915931588, 24109.930801597005],1.2774871251049016
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[5, 0.19542619542619544, 0.16597510373443983, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15, 1.01, 0.006180543465662814, 23187.393830076187],1.3065253531980328
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[6, 0.19542619542619544, 0.16597510373443983, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15, 1.01, 0.0032170149764075007, 22787.005099628666],1.3332970388189662
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[7, 0.20582120582120583, 0.1950207468879668, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15, 1.01, -0.00692035352262315, 21130.815786745592],1.3869084404613954
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[8, 0.2338877338877339, 0.24896265560165975, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15, 1.01, 0.0005421119860551521, 16598.311949517996],1.417800641730334
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[9, 0.24324324324324326, 0.25311203319502074, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15, 1.01, -0.004424673268325553, 15531.279594740718],1.4605946147650233
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[10, 0.24324324324324326, 0.25311203319502074, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15, 1.01, 0.009623141549604919, 14178.235561122885],1.484646696801674
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[11, 0.24324324324324326, 0.2074688796680498, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15, 1.01, -0.003561315112332923, 13871.50811579513],1.5044161789938186
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[12, 0.24636174636174638, 0.21991701244813278, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15, 1.01, 0.006635897279800594, 13624.512904276815],1.5265465148007837
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[13, 0.24636174636174638, 0.21991701244813278, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15, 1.01, -0.002435706043873026, 13545.097109062],1.5441624464223662
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[14, 0.24636174636174638, 0.21991701244813278, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15, 1.01, -0.0030698415233323534, 13852.31444352462],1.5634122291387151
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[15, 0.2577962577962578, 0.26556016597510373, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15, 1.01, -0.0024878615866789494, 14316.789271184804],1.5803216130059023
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[16, 0.2577962577962578, 0.26556016597510373, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15, 1.01, 0.005643366999462232, 14047.272547615094],1.611263100533938
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[17, 0.2577962577962578, 0.24066390041493776, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15, 1.01, 0.007249486414345273, 14277.385345718714],1.6369205257161648
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[18, 0.2692307692307692, 0.24066390041493776, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15, 1.01, -0.010010016450511632, 13936.925020712924],1.6506013133267599
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[19, 0.28378378378378377, 0.2821576763485477, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15, 1.01, 0.003981094080782767, 12853.329094797411],1.6728061044427873
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[20, 0.28378378378378377, 0.2821576763485477, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.1515, 1.01, -0.005576762158764598, 13651.010852791755],1.7028512758425605
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[21, 0.28378378378378377, 0.2821576763485477, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15301499999999998, 1.01, 0.008806225672689696, 13325.036440545824],1.7362871398150077
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[22, 0.29417879417879417, 0.29045643153526973, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15454515, 1.01, -0.0012529199698872173, 11779.178466613712],1.7518886862365546
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[23, 0.3191268191268191, 0.3153526970954357, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15609060149999998, 1.01, -0.0043561487495764745, 10728.660197456067],1.7804098669044388
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[24, 0.3191268191268191, 0.3153526970954357, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15765150751499998, 1.01, 0.004840493026595588, 10503.261159526644],1.805346923776471
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[25, 0.3191268191268191, 0.3153526970954357, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.15922802259014998, 1.01, -0.010847995110271447, 11049.860683787909],1.8322630250970118
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[26, 0.3191268191268191, 0.3153526970954357, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.16082030281605147, 1.01, 0.009364237783546999, 11280.41996707566],1.8633083934576637
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[27, 0.3191268191268191, 0.3153526970954357, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.16242850584421198, 1.01, -0.006009522603454581, 11275.773085273508],1.8904621836548676
<class 'problems.ANNOP.ANNOP'>,2347310714528,algorithms.adaptive_selection_GA,[28, 0.32744282744282743, 0.29045643153526973, 40, 'tournament_selection', 'two_point_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x00000222869F0EA0>, None, 0.95, 0.1640527909026541, 1.01, 7.664776690070874e-05, 11463.365353771209],1.9127579979502614
