<class 'problems.ANNOP.ANNOP'>,1241361691704,algorithms.GA_with_plotting,[0, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000012106EC3438>, None, 0.95, 0.012688578280754533, 32807.7981826224],1.1570168368340088
<class 'problems.ANNOP.ANNOP'>,1241361691704,algorithms.GA_with_plotting,[1, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000012106EC3438>, None, 0.95, -0.006814398900277192, 28151.731652114082],1.189391197004663
<class 'problems.ANNOP.ANNOP'>,1241361691704,algorithms.GA_with_plotting,[2, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000012106EC3438>, None, 0.95, 0.0032096068863557703, 26391.500367814882],1.2276261299942852
<class 'problems.ANNOP.ANNOP'>,1241361691704,algorithms.GA_with_plotting,[3, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000012106EC3438>, None, 0.95, -0.0008070108061455292, 23004.96551866889],1.2672684900377873
<class 'problems.ANNOP.ANNOP'>,1241361691704,algorithms.GA_with_plotting,[4, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000012106EC3438>, None, 0.95, 0.001129993925289216, 14632.201613507548],1.2953671208677144
<class 'problems.ANNOP.ANNOP'>,1241361691704,algorithms.GA_with_plotting,[5, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000012106EC3438>, None, 0.95, -0.007085206843504072, 13599.952875467105],1.3324199511513628
<class 'problems.ANNOP.ANNOP'>,1241361691704,algorithms.GA_with_plotting,[6, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000012106EC3438>, None, 0.95, -0.002177167100059812, 13394.534455738216],1.3516081753073212
<class 'problems.ANNOP.ANNOP'>,1241361691704,algorithms.GA_with_plotting,[7, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000012106EC3438>, None, 0.95, 0.005170502561606852, 13661.54443501525],1.3925082842359044
<class 'problems.ANNOP.ANNOP'>,1241361691704,algorithms.GA_with_plotting,[8, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000012106EC3438>, None, 0.95, -0.0042103602557791026, 12045.387217460888],1.4231936693632596
<class 'problems.ANNOP.ANNOP'>,1241361691704,algorithms.GA_with_plotting,[9, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000012106EC3438>, None, 0.95, 0.0019274492942762574, 12123.884767438603],1.4500029926456228
<class 'problems.ANNOP.ANNOP'>,1241361691704,algorithms.GA_with_plotting,[10, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000012106EC3438>, None, 0.95, -0.003731545399798409, 13554.942968876887],1.4671310981229504
<class 'problems.ANNOP.ANNOP'>,1241361691704,algorithms.GA_with_plotting,[11, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000012106EC3438>, None, 0.95, 0.007148659372712925, 12165.188949976604],1.4971484907767758
<class 'problems.ANNOP.ANNOP'>,1241361691704,algorithms.GA_with_plotting,[12, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000012106EC3438>, None, 0.95, 0.001009852293886851, 12684.897477535495],1.5318677939105514
<class 'problems.ANNOP.ANNOP'>,1241361691704,algorithms.GA_with_plotting,[13, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000012106EC3438>, None, 0.95, -0.0024878631725241546, 12400.132343988396],1.5483011966672733
<class 'problems.ANNOP.ANNOP'>,1241361691704,algorithms.GA_with_plotting,[14, 0.21933471933471935, 0.24066390041493776, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000012106EC3438>, None, 0.95, 0.0005670971516103518, 11243.712736590669],1.541385717098405
<class 'problems.ANNOP.ANNOP'>,1241361691704,algorithms.GA_with_plotting,[15, 0.21933471933471935, 0.24066390041493776, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000012106EC3438>, None, 0.95, -0.006818126413668451, 11796.047949060787],1.5562005838562558
<class 'problems.ANNOP.ANNOP'>,1241361691704,algorithms.GA_with_plotting,[16, 0.21933471933471935, 0.2157676348547718, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000012106EC3438>, None, 0.95, 0.0038764888448879972, 12419.359518290928],1.5734373522897682
<class 'problems.ANNOP.ANNOP'>,1241361691704,algorithms.GA_with_plotting,[17, 0.25467775467775466, 0.22821576763485477, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000012106EC3438>, None, 0.95, 0.001655848429816701, 12804.019953840638],1.599989580529824
