<class 'problems.ANNOP.ANNOP'>,1876113510976,algorithms.GA_with_plotting_fitshare,[0, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001B4D1145240>, None, 0.95, 0.002582535867272962, 32807.7981826224],1.1570168368340088
<class 'problems.ANNOP.ANNOP'>,1876113510976,algorithms.GA_with_plotting_fitshare,[1, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001B4D1145240>, None, 0.95, 0.01178353469679213, 27311.86525002723],1.1864801677646672
<class 'problems.ANNOP.ANNOP'>,1876113510976,algorithms.GA_with_plotting_fitshare,[2, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001B4D1145240>, None, 0.95, -0.0036079698697652623, 24083.7138536503],1.2163628363762962
<class 'problems.ANNOP.ANNOP'>,1876113510976,algorithms.GA_with_plotting_fitshare,[3, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001B4D1145240>, None, 0.95, -0.0057439117942621985, 20502.871499140296],1.2370717530312396
<class 'problems.ANNOP.ANNOP'>,1876113510976,algorithms.GA_with_plotting_fitshare,[4, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001B4D1145240>, None, 0.95, 0.006495731675688062, 12017.945484862488],1.2460982286839153
<class 'problems.ANNOP.ANNOP'>,1876113510976,algorithms.GA_with_plotting_fitshare,[5, 0.2234927234927235, 0.21991701244813278, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001B4D1145240>, None, 0.95, -0.0008978087267626916, 10547.91741102987],1.2694955317900594
<class 'problems.ANNOP.ANNOP'>,1876113510976,algorithms.GA_with_plotting_fitshare,[6, 0.23284823284823286, 0.25311203319502074, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001B4D1145240>, None, 0.95, 0.004682015604362932, 10455.6067306729],1.260399965781119
<class 'problems.ANNOP.ANNOP'>,1876113510976,algorithms.GA_with_plotting_fitshare,[7, 0.23492723492723494, 0.25311203319502074, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001B4D1145240>, None, 0.95, 0.00031595664802893525, 11446.966264238763],1.283676489746447
<class 'problems.ANNOP.ANNOP'>,1876113510976,algorithms.GA_with_plotting_fitshare,[8, 0.23492723492723494, 0.24896265560165975, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001B4D1145240>, None, 0.95, -0.005670490315651172, 12196.271426931517],1.3221861205960717
<class 'problems.ANNOP.ANNOP'>,1876113510976,algorithms.GA_with_plotting_fitshare,[9, 0.23804573804573806, 0.26556016597510373, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001B4D1145240>, None, 0.95, 0.004779547958421761, 10709.461036606706],1.3785262643042457
<class 'problems.ANNOP.ANNOP'>,1876113510976,algorithms.GA_with_plotting_fitshare,[10, 0.26507276507276506, 0.2987551867219917, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001B4D1145240>, None, 0.95, 0.0015934921215047665, 9762.672981713169],1.3974109966408983
<class 'problems.ANNOP.ANNOP'>,1876113510976,algorithms.GA_with_plotting_fitshare,[11, 0.2692307692307692, 0.3029045643153527, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001B4D1145240>, None, 0.95, 0.00245372178421336, 9731.958972363454],1.4106170703346168
<class 'problems.ANNOP.ANNOP'>,1876113510976,algorithms.GA_with_plotting_fitshare,[12, 0.2869022869022869, 0.3070539419087137, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001B4D1145240>, None, 0.95, -0.0015943262162805769, 9500.29509863513],1.4216716571754984
<class 'problems.ANNOP.ANNOP'>,1876113510976,algorithms.GA_with_plotting_fitshare,[13, 0.3108108108108108, 0.3070539419087137, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x000001B4D1145240>, None, 0.95, 0.0046876809737506075, 9537.02112029605],1.4491319545878834
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[0, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, 0.002582535867272962, 32807.7981826224],1.1570168368340088
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[1, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, 0.01178353469679213, 27311.86525002723],1.1864801677646672
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[2, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, -0.0036079698697652623, 24083.7138536503],1.2163628363762962
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[3, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, -0.0057439117942621985, 20502.871499140296],1.2370717530312396
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[4, 0.21621621621621623, 0.18672199170124482, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, 0.006495731675688062, 12017.945484862488],1.2460982286839153
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[5, 0.2234927234927235, 0.21991701244813278, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, -0.0008978087267626916, 10547.91741102987],1.2694955317900594
<class 'problems.ANNOP.ANNOP'>,1563493344312,algorithms.GA_with_plotting_fitshare,[6, 0.23284823284823286, 0.25311203319502074, 40, 'tournament_selection', 'uniform_crossover', 0.95, 'ball_mutation', <mtrand.RandomState object at 0x0000016C07772438>, None, 0.95, 0.004682015604362932, 10455.6067306729],1.260399965781119
