<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[0, 0.1735966735966736, 0.1825726141078838, 40, 'tournament_selection', 'crossover_weight', 1.0, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0, 0.00021740863783906161, 32771.39552055529],1.1542039498947667
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[1, 0.21413721413721415, 0.1825726141078838, 40, 'tournament_selection', 'crossover_weight', 0.9953139444786452, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0, 0.008474096792865298, 30208.869344523213],1.189156121632916
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[2, 0.2203742203742204, 0.24066390041493776, 40, 'tournament_selection', 'crossover_weight', 0.9837803968336579, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.012100587913001, -0.0009211355430772464, 28793.264954665316],1.2227548276533389
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[3, 0.24220374220374222, 0.24896265560165975, 40, 'tournament_selection', 'crossover_weight', 0.9606407444018354, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0400542103777508, -0.0006922103203429106, 25309.110615802776],1.2483271673546048
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[4, 0.2525987525987526, 0.27800829875518673, 40, 'tournament_selection', 'crossover_weight', 0.9549075955544867, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0498871793761113, -0.002088430217509131, 18318.883245896755],1.2733788687333147
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[5, 0.2525987525987526, 0.24896265560165975, 40, 'tournament_selection', 'crossover_weight', 0.9539843922568353, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.051652434795464, 0.015026010350135677, 16586.963801274098],1.3062428560586934
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[6, 0.2525987525987526, 0.24896265560165975, 40, 'tournament_selection', 'crossover_weight', 0.9393900374375225, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0800832240261347, -0.013761375455745843, 16308.074523302284],1.3428879094456383
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[7, 0.2525987525987526, 0.24896265560165975, 40, 'tournament_selection', 'crossover_weight', 0.9409654329144055, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0757634560429563, 0.005742318752883904, 11899.284944259927],1.376503882312007
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[8, 0.2525987525987526, 0.26141078838174275, 40, 'tournament_selection', 'crossover_weight', 0.9392129172106378, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0803656101424721, -0.003293211100795411, 12375.194105531074],1.3955743430373762
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[9, 0.2525987525987526, 0.26141078838174275, 40, 'tournament_selection', 'crossover_weight', 0.9371729625812757, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0859859439115085, 0.0008003407183637679, 11845.778926337636],1.4283478303668
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[10, 0.27234927234927236, 0.27800829875518673, 40, 'tournament_selection', 'crossover_weight', 0.937197950987675, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.085912941771711, 0.0071395455368297445, 11229.531697666078],1.4465567890948015
<class 'problems.ANNOP.ANNOP'>,407834056,algorithms.AGA_4p,[11, 0.27234927234927236, 0.27800829875518673, 40, 'tournament_selection', 'crossover_weight', 0.9388818633493216, 'ball_mutation', <mtrand.RandomState object at 0x184F0DC8>, None, 1.0809971273847112, -0.010055145462526838, 11237.080412706528],1.464817746629628
