<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[0, 0.18503118503118504, 0.1908713692946058, 40, 'tournament_selection', 'crossover_weight', 1.0, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0, -0.002445950771154271, 32728.904009395086],1.158445508335397
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[1, 0.18503118503118504, 0.1908713692946058, 40, 'tournament_selection', 'crossover_weight', 0.989792379669399, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0, 0.0023550887354016094, 30141.90613626829],1.1856558599252667
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[2, 0.18503118503118504, 0.1908713692946058, 40, 'tournament_selection', 'crossover_weight', 0.9844309309654348, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0059709395426475, 0.0030395531018468543, 27065.134797471892],1.2241790161074741
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[3, 0.19646569646569648, 0.18672199170124482, 40, 'tournament_selection', 'crossover_weight', 0.9787435751484713, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0127472650068856, 0.002969570134035114, 25449.09196157882],1.255936142594176
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[4, 0.20582120582120583, 0.17427385892116182, 40, 'tournament_selection', 'crossover_weight', 0.9655926488151023, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0296611080109839, -0.0005827940048546802, 23734.814509594114],1.2835358647499093
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[5, 0.20893970893970895, 0.17427385892116182, 40, 'tournament_selection', 'crossover_weight', 0.9653573005867505, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0300305532490566, 0.0065934927300045874, 19770.874638140227],1.3160513988790328
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[6, 0.20997920997921, 0.1825726141078838, 40, 'tournament_selection', 'crossover_weight', 0.9687855272323636, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0246276706992228, -0.004902099359684633, 19699.936196057075],1.346003285265111
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[7, 0.21101871101871103, 0.1991701244813278, 40, 'tournament_selection', 'crossover_weight', 0.9571589751215562, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0419465566435244, 0.004926702722998767, 20733.269053716278],1.3785478518027787
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[8, 0.23180873180873182, 0.2157676348547718, 40, 'tournament_selection', 'crossover_weight', 0.9409538609112278, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0714867345693162, 0.0057085805811708315, 17228.80462959241],1.420182798148397
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[9, 0.24844074844074845, 0.23651452282157676, 40, 'tournament_selection', 'crossover_weight', 0.9429362217272993, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0663002313427832, -0.009207842873350053, 12344.274315040131],1.4487582369158571
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[10, 0.24844074844074845, 0.23651452282157676, 40, 'tournament_selection', 'crossover_weight', 0.9434799157460259, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0649499936306017, -0.0008846807011125418, 12941.79565150258],1.486894233037591
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[11, 0.25571725571725573, 0.2572614107883817, 40, 'tournament_selection', 'crossover_weight', 0.9434855004603586, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0649363150358044, -0.00041221989625157135, 13105.675392295654],1.5175951802489087
<class 'problems.ANNOP.ANNOP'>,410330576,algorithms.AGA_4p,[12, 0.25571725571725573, 0.2572614107883817, 40, 'tournament_selection', 'crossover_weight', 0.9426838034088565, 'ball_mutation', <mtrand.RandomState object at 0x187525D0>, None, 1.0668996276222147, -0.0004121013042985497, 13107.358731647817],1.5505753772394122
